company,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,netIncome,interestExpense,costOfRevenue,researchAndDevelopment,sellingGeneralAndAdministrative,incomeBeforeTax,operatingCashflow,capitalExpenditures,cashflowFromFinancing,dividendPayout,changeInReceivables,changeInInventory,cashflowFromInvestment,totalAssets,totalLiabilities,totalCurrentAssets,totalCurrentLiabilities,cashAndShortTermInvestments,inventory,currentNetReceivables,propertyPlantEquipment,goodwill,intangibleAssets
Apple,30-06-2005,3520000000,1044000000,426000000,315000000,46000000,2476000000,145000000,472000000,472000000,472000000,63000000,63000000,,,-29000000,305000000,10488000000,3667000000,9042000000,3123000000,3094000000,193000000,1101000000,764000000,80000000,29000000
Apple,30-09-2005,3678000000,1035000000,418000000,430000000,60000000,2643000000,147000000,470000000,478000000,752000000,96000000,74000000,,,28000000,-429000000,11551000000,4085000000,9969000000,3484000000,3491000000,165000000,1312000000,817000000,69000000,27000000
Apple,31-12-2005,5749000000,1564000000,750000000,565000000,81000000,4185000000,182000000,632000000,831000000,283000000,82000000,283000000,,,-79000000,93000000,14181000000,5801000000,11691000000,5060000000,4150000000,244000000,2413000000,855000000,69000000,24000000
Apple,31-03-2006,4359000000,1297000000,529000000,410000000,76000000,3062000000,176000000,592000000,605000000,-125000000,193000000,-141000000,,,40000000,2462000000,13911000000,5229000000,10730000000,4456000000,6346000000,204000000,1984000000,1005000000,69000000,41000000
Apple,30-06-2006,4370000000,1325000000,566000000,472000000,0,3045000000,175000000,584000000,661000000,1007000000,237000000,129000000,,,-9000000,3086000000,15114000000,5784000000,11486000000,5023000000,8013000000,213000000,1089000000,1197000000,38000000,37000000
Apple,30-09-2006,4370000000,1412000000,608000000,542000000,252000000,3425000000,179000000,584000000,721000000,1055000000,145000000,53000000,,,-57000000,357000000,17205000000,7221000000,13758000000,6471000000,6392000000,270000000,2094000000,1281000000,38000000,139000000
Apple,31-12-2006,7115000000,2220000000,1322000000,1004000000,126000000,4895000000,184000000,714000000,1448000000,1813000000,257000000,188000000,,,-33000000,-1234000000,19461000000,8233000000,15766000000,7337000000,7159000000,303000000,3113000000,1362000000,38000000,146000000
Apple,31-03-2007,5264000000,1849000000,986000000,770000000,148000000,3415000000,183000000,680000000,1134000000,734000000,206000000,180000000,,,95000000,-978000000,18711000000,6450000000,14914000000,5485000000,7095000000,208000000,1667000000,1409000000,38000000,240000000
Apple,30-06-2007,5410000000,1995000000,1041000000,818000000,155000000,3415000000,208000000,746000000,1196000000,1227000000,289000000,229000000,,,-43000000,-1433000000,21647000000,8243000000,17617000000,6992000000,7118000000,251000000,2901000000,1626000000,38000000,237000000
Apple,30-09-2007,6217000000,2090000000,1060000000,904000000,170000000,4127000000,207000000,823000000,1230000000,1696000000,234000000,142000000,,,-95000000,396000000,25347000000,10815000000,20757000000,9299000000,9352000000,346000000,4029000000,1832000000,38000000,299000000
